role,company,salary,description
Data Scientist,Google,130000,Python machine learning data analysis SQL deep learning
Backend Engineer,Amazon,115000,Java microservices docker kubernetes AWS SQL
ML Engineer,OpenAI,140000,Python pytorch machine learning deep learning AWS
Data Analyst,Microsoft,95000,Python SQL data analysis visualization pandas
Full Stack Developer,Meta,120000,React node JavaScript docker AWS SQL
Cloud Engineer,IBM,125000,AWS docker kubernetes cloud infrastructure Python
AI Engineer,NVIDIA,150000,Python tensorflow deep learning machine learning GPU
Software Engineer,Apple,118000,Java backend distributed systems docker
DevOps Engineer,Netflix,135000,AWS docker kubernetes CI CD infrastructure
Data Engineer,Uber,128000,Python SQL data pipelines spark AWS
